zip,lat,lng,city,population,county_name
60469,41.62825,-87.68712,Posen,5780,Cook
60470,41.16897,-88.64107,Ransom,497,La Salle
60471,41.47959,-87.73402,Richton Park,14055,Cook
60472,41.64375,-87.7088,Robbins,4870,Cook
60473,41.59738,-87.59978,South Holland,22201,Cook
60474,41.18539,-88.26673,South Wilmington,986,Grundy
60475,41.47271,-87.62786,Steger,9674,Will
60476,41.56864,-87.60671,Thornton,2493,Cook
60477,41.57255,-87.7887,Tinley Park,37919,Cook
60478,41.56381,-87.72468,Country Club Hills,17112,Cook
60479,41.22869,-88.51792,Verona,934,Grundy
60480,41.72896,-87.88088,Willow Springs,5370,Cook
60481,41.28398,-88.12306,Wilmington,11540,Will
60482,41.68735,-87.79106,Worth,10916,Cook
60484,41.44205,-87.70623,University Park,6580,Will
60487,41.56359,-87.83423,Tinley Park,26588,Cook
60490,41.67474,-88.14442,Bolingbrook,22202,Will
60491,41.60278,-87.95988,Homer Glen,22961,Will
60501,41.78014,-87.82394,Summit Argo,11854,Cook
60502,41.7921,-88.25909,Aurora,22622,DuPage
60503,41.71277,-88.2565,Aurora,16973,Will
60504,41.74634,-88.23847,Aurora,38013,DuPage
60505,41.76429,-88.29409,Aurora,77190,Kane
60506,41.76524,-88.36503,Aurora,54216,Kane
60510,41.84212,-88.30552,Batavia,29533,Kane
60511,41.75795,-88.55615,Big Rock,1932,Kane
60512,41.70162,-88.43968,Bristol,1184,Kendall
60513,41.82458,-87.84692,Brookfield,18880,Cook
60514,41.79653,-87.95693,Clarendon Hills,10109,DuPage
60515,41.80961,-88.02289,Downers Grove,28566,DuPage
60516,41.76242,-88.01359,Downers Grove,29268,DuPage
60517,41.74204,-88.04237,Woodridge,32328,DuPage
60518,41.59782,-88.91874,Earlville,3543,La Salle
60519,41.77789,-88.24233,Eola,63,DuPage
60520,41.78252,-88.65816,Hinckley,2810,DeKalb
60521,41.79999,-87.92878,Hinsdale,18402,DuPage
60523,41.83706,-87.95405,Oak Brook,10136,DuPage
60525,41.78424,-87.86893,La Grange,30576,Cook
60526,41.83183,-87.87395,La Grange Park,13546,Cook
60527,41.74464,-87.93334,Willowbrook,27903,DuPage
60530,41.79491,-88.96062,Lee,484,Lee
60531,41.6157,-88.78692,Leland,1759,La Salle
60532,41.79241,-88.08441,Lisle,28178,DuPage
60534,41.81338,-87.82214,Lyons,10544,Cook
60536,41.59721,-88.54992,Millbrook,116,Kendall
60537,41.56212,-88.60245,Millington,647,La Salle
60538,41.72218,-88.35905,Montgomery,28451,Kendall
60539,41.82567,-88.33459,Mooseheart,273,Kane
60540,41.76365,-88.14514,Naperville,45112,DuPage
60541,41.51663,-88.52544,Newark,3660,Kendall
60542,41.80928,-88.35064,North Aurora,18125,Kane
60543,41.66526,-88.32321,Oswego,40027,Kendall
60544,41.61338,-88.21667,Plainfield,26498,Will
60545,41.67748,-88.53667,Plano,13259,Kendall
60546,41.83803,-87.82144,Riverside,15685,Cook
60548,41.64812,-88.63618,Sandwich,12374,DeKalb
60549,41.49085,-88.7424,Serena,232,La Salle
60550,41.77879,-88.87593,Shabbona,1454,DeKalb
60551,41.52538,-88.68472,Sheridan,5500,La Salle
60552,41.6599,-88.70302,Somonauk,4401,La Salle
60553,41.82789,-89.02682,Steward,701,Lee
60554,41.776,-88.45653,Sugar Grove,12166,Kane
60555,41.82275,-88.18134,Warrenville,13448,DuPage
60556,41.76265,-88.77347,Waterman,2029,DeKalb
60557,41.44553,-88.76381,Wedron,157,La Salle
60558,41.80612,-87.90159,Western Springs,13227,Cook
60559,41.79401,-87.97484,Westmont,24529,DuPage
60560,41.60799,-88.42971,Yorkville,24886,Kendall
60561,41.7454,-87.98237,Darien,23163,DuPage
60563,41.7997,-88.17019,Naperville,37409,DuPage
60564,41.70821,-88.19855,Naperville,42513,Will
60565,41.73006,-88.12392,Naperville,40773,DuPage
60585,41.65936,-88.22417,Plainfield,24368,Will
60586,41.57046,-88.23341,Plainfield,47692,Will
60601,41.88526,-87.62194,Chicago,14675,Cook
60602,41.88309,-87.62912,Chicago,1244,Cook
60603,41.88022,-87.62549,Chicago,1174,Cook
60604,41.87814,-87.62837,Chicago,782,Cook
60605,41.86684,-87.61983,Chicago,27519,Cook
60606,41.88195,-87.63731,Chicago,3101,Cook
60607,41.875,-87.65157,Chicago,29591,Cook
60608,41.84876,-87.6713,Chicago,79205,Cook
60609,41.81252,-87.65565,Chicago,61495,Cook
60610,41.90487,-87.63615,Chicago,39019,Cook
60611,41.89472,-87.61938,Chicago,32426,Cook
60612,41.88033,-87.68767,Chicago,34311,Cook
60613,41.95583,-87.65796,Chicago,50113,Cook
60614,41.9228,-87.65139,Chicago,71308,Cook
60615,41.80223,-87.60272,Chicago,41563,Cook
